postcode,huisnummer,huisletter,toevoeging,adres,gemeente,omschrijving,bron_url
2511BE,70,,,"Spuistraat 70, 2511BE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Spuistraat 70,http://www.monumentenzorgdenhaag.nl/monumenten/spuistraat-70
2514EP,9,,,"Hartogstraat 9, 2514EP 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Noordeinde 9/ Hartogstraat 1,http://www.monumentenzorgdenhaag.nl/monumenten/hartogstraat-1-noordeinde-9
2512BP,26,,,"Paviljoensgracht 26, 2512BP 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Paviljoensgracht 26,http://www.monumentenzorgdenhaag.nl/monumenten/paviljoensgracht-26
2585EG,43,,,"Bankastraat 43, 2585EG 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 43,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-98
2584XK,30,,,"Willem Beukelszoonplein 30, 2584XK 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Willem Beukelszoonplein 8 t/m 30,http://www.monumentenzorgdenhaag.nl/monumenten/willem-beukelszoonplein-8-tm-30
2585EG,25,,,"Bankastraat 25, 2585EG 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 25,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-90
2513AW,16,,,"Papestraat 16, 2513AW 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Papestraat 16,http://www.monumentenzorgdenhaag.nl/monumenten/papestraat-16
2585GG,7,,,"Surinamestraat 7, 2585GG 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Surinamestraat 7,http://www.monumentenzorgdenhaag.nl/monumenten/surinamestraat-7
2585EH,67,,,"Bankastraat 67, 2585EH 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 67,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-110
2586EM,10,,,"Badhuiskade 10, 2586EM 's-Gravenhage",'s-Gravenhage,Definitieve plaatsing op de gemeentelijke monumentenlijst van Badhuiskade 10,http://www.monumentenzorgdenhaag.nl/monumenten/badhuiskade-10
2514HW,97,,,"Nieuwe Schoolstraat 97, 2514HW 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Nieuwe Schoolstraat 97,http://www.monumentenzorgdenhaag.nl/monumenten/nieuwe-schoolstraat-97-tm-103
2586BB,5,,,"Gevers Deynootweg 5, 2586BB 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Gevers Deynootweg 3-5,http://www.monumentenzorgdenhaag.nl/monumenten/gevers-deynootweg-3-en-5
2582BM,234,,,"Frederik Hendriklaan 234, 2582BM 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Frederik Hendriklaan 232-232A-234,http://www.monumentenzorgdenhaag.nl/monumenten/frederik-hendriklaan-232-232a-234-234a
2511VV,81,,,"Zwarteweg 81, 2511VV 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Zwarteweg 81,http://www.monumentenzorgdenhaag.nl/monumenten/zwarteweg-81
2585EH,73,,,"Bankastraat 73, 2585EH 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 73,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-113
2511BA,39,,,"Vlamingstraat 39, 2511BA 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Vlamingstraat 39,http://www.monumentenzorgdenhaag.nl/monumenten/vlamingstraat-39
2511AX,8,,,"Schoolstraat 8, 2511AX 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Schoolstraat 8,http://www.monumentenzorgdenhaag.nl/monumenten/schoolstraat-8
2511EC,23,,,"Korte Poten 23, 2511EC 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Korte Poten 23,http://www.monumentenzorgdenhaag.nl/monumenten/korte-poten-23
2512BD,21,C,,"Dunne Bierkade 21C, 2512BD 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Dunne Bierkade 21/21A/21B,http://www.monumentenzorgdenhaag.nl/monumenten/dunne-bierkade-21-tm-21c
2514AL,108,A,,"Koninginnegracht 108A, 2514AL 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Koninginnegracht 108,http://www.monumentenzorgdenhaag.nl/monumenten/koninginnegracht-108
2586RN,169,,,"Korendijkstraat 169, 2586RN 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Korendijkstraat 147 t/m 169,http://www.monumentenzorgdenhaag.nl/monumenten/korendijkstraat-147-tm-169
2514LL,44,,,"Frederikstraat 44, 2514LL 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Frederikstraat 44,http://www.monumentenzorgdenhaag.nl/monumenten/frederikstraat-44
2514GB,19,,,"Noordeinde 19, 2514GB 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Noordeinde 19,http://www.monumentenzorgdenhaag.nl/monumenten/noordeinde-19
2511AZ,29,,,"Vlamingstraat 29, 2511AZ 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Vlamingstraat 29,http://www.monumentenzorgdenhaag.nl/monumenten/vlamingstraat-29
2586RN,169,,,"Korendijkstraat 169, 2586RN 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Korendijkstraat 147 t/m 169,http://www.monumentenzorgdenhaag.nl/monumenten/korendijkstraat-147-tm-169
2513BH,9,A,,"Molenstraat 9A, 2513BH 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Molenstraat 9/9A,http://www.monumentenzorgdenhaag.nl/monumenten/molenstraat-9-en-9a
2585EG,55,,,"Bankastraat 55, 2585EG 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 55,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-104
2584XK,30,,,"Willem Beukelszoonplein 30, 2584XK 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Willem Beukelszoonplein 8 t/m 30,http://www.monumentenzorgdenhaag.nl/monumenten/willem-beukelszoonplein-8-tm-30
2512BC,1,A,,"Dunne Bierkade 1A, 2512BC 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Dunne Bierkade 1A,http://www.monumentenzorgdenhaag.nl/monumenten/dunne-bierkade-1a
2511BB,36,,,"Vlamingstraat 36, 2511BB 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Vlamingstraat 36,http://www.monumentenzorgdenhaag.nl/monumenten/vlamingstraat-36-tm-36b
2586BL,4,,,"Gevers Deynootweg 4, 2586BL 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Gevers Deynootweg 4,http://www.monumentenzorgdenhaag.nl/monumenten/gevers-deynootweg-4
2511AX,10,A,,"Schoolstraat 10A, 2511AX 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Schoolstraat 10,http://www.monumentenzorgdenhaag.nl/monumenten/schoolstraat-10
2511CC,9,,,"Korte Houtstraat 9, 2511CC 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Korte Houtstraat 9,http://www.monumentenzorgdenhaag.nl/monumenten/korte-houtstraat-9
2514CM,178,,,"Denneweg 178, 2514CM 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Denneweg 144 t/m 178,http://www.monumentenzorgdenhaag.nl/monumenten/denneweg-144-tm-176
2511BC,1,,,"Spuistraat 1, 2511BC 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Spuistraat 1,http://www.monumentenzorgdenhaag.nl/monumenten/spuistraat-1
2512GX,155,,,"Westeinde 155, 2512GX 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Westeinde 153b/153c/155,http://www.monumentenzorgdenhaag.nl/monumenten/westeinde-153b-en-c-en-155
2512AX,2,D,,"Wagenstraat 2D, 2512AX 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister Wagenstraat 2 a t/m 2 d,http://www.monumentenzorgdenhaag.nl/monumenten/wagenstraat-2a-tm-2d
2511CL,7,,,"Lange Poten 7, 2511CL 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Lange Poten 7,http://www.monumentenzorgdenhaag.nl/monumenten/lange-poten-7
2514AL,116,,,"Koninginnegracht 116, 2514AL 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Koninginnegracht 116,http://www.monumentenzorgdenhaag.nl/monumenten/koninginnegracht-116
2512GW,133,A,,"Westeinde 133A, 2512GW 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Westeinde 133/133a,http://www.monumentenzorgdenhaag.nl/monumenten/westeinde-133-en-133a
2513BK,20,A,,"Molenstraat 20A, 2513BK 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Molenstraat 20/20A,http://www.monumentenzorgdenhaag.nl/monumenten/molenstraat-20-en-20a
2511CV,25,,,"Lange Houtstraat 25, 2511CV 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Lange Houtstraat 25,http://www.monumentenzorgdenhaag.nl/monumenten/lange-houtstraat-25
2513AV,15,,,"Papestraat 15, 2513AV 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Papestraat 15,http://www.monumentenzorgdenhaag.nl/monumenten/papestraat-15
2511BB,38,,,"Vlamingstraat 38, 2511BB 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Vlamingstraat 38,http://www.monumentenzorgdenhaag.nl/monumenten/vlamingstraat-38
2511ED,16,,,"Korte Poten 16, 2511ED 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Korte Poten 14-16,http://www.monumentenzorgdenhaag.nl/monumenten/korte-poten-14-en-16
2511BA,43,,,"Vlamingstraat 43, 2511BA 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Vlamingstraat 43,http://www.monumentenzorgdenhaag.nl/monumenten/vlamingstraat-43
2585EG,51,,,"Bankastraat 51, 2585EG 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 51,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-102
2585EH,65,,,"Bankastraat 65, 2585EH 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 65,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-109
2511BE,58,,,"Spuistraat 58, 2511BE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Spuistraat 58,http://www.monumentenzorgdenhaag.nl/monumenten/spuistraat-56-en-58
2511CC,5,A,,"Korte Houtstraat 5A, 2511CC 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Korte Houtstraat 5/5A,http://www.monumentenzorgdenhaag.nl/monumenten/korte-houtstraat-5-en-5a
2585EE,11,,,"Bankastraat 11, 2585EE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 11,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-83
2514CL,136,,,"Denneweg 136, 2514CL 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Denneweg 136,http://www.monumentenzorgdenhaag.nl/monumenten/denneweg-136
2514CM,178,,,"Denneweg 178, 2514CM 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Denneweg 144 t/m 178,http://www.monumentenzorgdenhaag.nl/monumenten/denneweg-144-tm-176
2512BE,35,,,"Stille Veerkade 35, 2512BE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Stille Veerkade 35,http://www.monumentenzorgdenhaag.nl/monumenten/stille-veerkade-35
2513CL,44,,,"Toussaintkade 44, 2513CL 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Toussaintkade 44,http://www.monumentenzorgdenhaag.nl/monumenten/toussaintkade-44
2584XK,30,,,"Willem Beukelszoonplein 30, 2584XK 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Willem Beukelszoonplein 8 t/m 30,http://www.monumentenzorgdenhaag.nl/monumenten/willem-beukelszoonplein-8-tm-30
2515LR,128,,,"Groenewegje 128, 2515LR 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Groenewegje 128,http://www.monumentenzorgdenhaag.nl/monumenten/groenewegje-128
2586RN,169,,,"Korendijkstraat 169, 2586RN 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Korendijkstraat 147 t/m 169,http://www.monumentenzorgdenhaag.nl/monumenten/korendijkstraat-147-tm-169
2511AX,16,A,,"Schoolstraat 16A, 2511AX 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister van Schoolstraat 16-16A,http://www.monumentenzorgdenhaag.nl/monumenten/schoolstraat-16-16a
2512BC,2,A,,"Dunne Bierkade 2A, 2512BC 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Dunne Bierkade 2/2A,http://www.monumentenzorgdenhaag.nl/monumenten/dunne-bierkade-2-en-2a
2512GW,127,A,,"Westeinde 127A, 2512GW 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Westeinde 127/127a,http://www.monumentenzorgdenhaag.nl/monumenten/westeinde-127-en-127a
2585EE,7,,,"Bankastraat 7, 2585EE 's-Gravenhage",'s-Gravenhage,Plaatsing op de gemeentelijke monumentenlijst van Bankastraat 7,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-81
2585EE,17,,,"Bankastraat 17, 2585EE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 17,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-86
2585EH,79,,,"Bankastraat 79, 2585EH 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 79,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-116
2512XT,50,A,,"Zuidwal 50A, 2512XT 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Zuidwal 50/50a,http://www.monumentenzorgdenhaag.nl/monumenten/zuidwal-50-en-50a
2513CK,31,,,"Toussaintkade 31, 2513CK 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Toussaintkade 31,http://www.monumentenzorgdenhaag.nl/monumenten/toussaintkade-31
2511BA,37,B,,"Vlamingstraat 37B, 2511BA 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Vlamingstraat 37/37a/37b,http://www.monumentenzorgdenhaag.nl/monumenten/vlamingstraat-37-tm-37b
2511BC,41,,,"Spuistraat 41, 2511BC 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Spuistraat 41,http://www.monumentenzorgdenhaag.nl/monumenten/spuistraat-41
2514CM,178,,,"Denneweg 178, 2514CM 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Denneweg 144 t/m 178,http://www.monumentenzorgdenhaag.nl/monumenten/denneweg-144-tm-176
2514CD,45,A,,"Denneweg 45A, 2514CD 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Denneweg 45/45A,http://www.monumentenzorgdenhaag.nl/monumenten/denneweg-45-en-45a
2585GK,58,,,"Surinamestraat 58, 2585GK 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Surinamestraat 56/58,http://www.monumentenzorgdenhaag.nl/monumenten/surinamestraat-56-en-58
2511CR,13,,,"Plein 13, 2511CR 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Plein 13,http://www.monumentenzorgdenhaag.nl/monumenten/plein-13
2511AW,11,,,"Schoolstraat 11, 2511AW 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Schoolstraat 11,http://www.monumentenzorgdenhaag.nl/monumenten/schoolstraat-11
2585EG,23,,,"Bankastraat 23, 2585EG 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 23,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-89
2512VS,11,A,,"Assendelftstraat 11A, 2512VS 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Assendelftstraat 11/11A,http://www.monumentenzorgdenhaag.nl/monumenten/assendelftstraat-11-en-11a
2511CL,5,,,"Lange Poten 5, 2511CL 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk register van Lange Poten 5,http://www.monumentenzorgdenhaag.nl/monumenten/lange-poten-55a
2511ED,10,,,"Korte Poten 10, 2511ED 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Korte Poten 10,http://www.monumentenzorgdenhaag.nl/monumenten/korte-poten-10
2514CM,178,,,"Denneweg 178, 2514CM 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Denneweg 144 t/m 178,http://www.monumentenzorgdenhaag.nl/monumenten/denneweg-144-tm-176
2514CM,178,,,"Denneweg 178, 2514CM 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Denneweg 144 t/m 178,http://www.monumentenzorgdenhaag.nl/monumenten/denneweg-144-tm-176
2514CM,178,,,"Denneweg 178, 2514CM 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Denneweg 144 t/m 178,http://www.monumentenzorgdenhaag.nl/monumenten/denneweg-144-tm-176
2513BA,15,A,,"Oude Molstraat 15A, 2513BA 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Papestraat 31/hoek oude molstraat 15,http://www.monumentenzorgdenhaag.nl/monumenten/papestraat-31-oude-molstraat-15a
2512BC,14,B,,"Dunne Bierkade 14B, 2512BC 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Dunne Bierkade 14/14A/14B,http://www.monumentenzorgdenhaag.nl/monumenten/dunne-bierkade-14-tm-14b
2511AR,11,,,"Venestraat 11, 2511AR 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Venestraat 11,http://www.monumentenzorgdenhaag.nl/monumenten/venestraat-11
2514LL,46,,,"Frederikstraat 46, 2514LL 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Frederikstraat 46,http://www.monumentenzorgdenhaag.nl/monumenten/frederikstraat-46
2512BD,26,,,"Dunne Bierkade 26, 2512BD 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Dunne Bierkade 25/26,http://www.monumentenzorgdenhaag.nl/monumenten/dunne-bierkade-25-en-26
2584XK,30,,,"Willem Beukelszoonplein 30, 2584XK 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Willem Beukelszoonplein 8 t/m 30,http://www.monumentenzorgdenhaag.nl/monumenten/willem-beukelszoonplein-8-tm-30
2511BA,47,,,"Vlamingstraat 47, 2511BA 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Vlamingstraat 47,http://www.monumentenzorgdenhaag.nl/monumenten/vlamingstraat-47
2511AR,3,,,"Venestraat 3, 2511AR 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister van Venestraat 3,http://www.monumentenzorgdenhaag.nl/monumenten/venestraat-3
2512BD,31,,,"Dunne Bierkade 31, 2512BD 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Dunne Bierkade 29,http://www.monumentenzorgdenhaag.nl/monumenten/dunne-bierkade-29-30-en-31
2511BB,28,,,"Vlamingstraat 28, 2511BB 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Vlamingstraat 28,http://www.monumentenzorgdenhaag.nl/monumenten/vlamingstraat-28-en-28a
2585BB,14,,,"Burgemeester van Karnebeeklaan 14, 2585BB 's-Gravenhage",'s-Gravenhage,"Plaatsing op de gemeentelijke monumentenlijst, Burgemeester Van Karnebeeklaan 14 te Den Haag",http://www.monumentenzorgdenhaag.nl/monumenten/burgemeester-van-karnebeeklaan-14
2585HJ,10,,,"Prinsevinkenpark 10, 2585HJ 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Prinsevinkenpark 10,http://www.monumentenzorgdenhaag.nl/monumenten/prinsevinkenpark-10
2518ES,3,A,,"Van de Spiegelstraat 3A, 2518ES 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Van de Spiegelstraat 3,http://www.monumentenzorgdenhaag.nl/monumenten/van-de-spiegelstraat-3
2585JB,8,,,"Kerkhoflaan 8, 2585JB 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Kerkhoflaan 8,http://www.monumentenzorgdenhaag.nl/monumenten/kerkhoflaan-8
2511CV,23,A,,"Lange Houtstraat 23A, 2511CV 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Lange Houtstraat 23/23A,http://www.monumentenzorgdenhaag.nl/monumenten/lange-houtstraat-23-en-23a
2512BP,28,,,"Paviljoensgracht 28, 2512BP 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Paviljoensgracht 28,http://www.monumentenzorgdenhaag.nl/monumenten/paviljoensgracht-28
2585HK,12,,,"Prinsevinkenpark 12, 2585HK 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Prinsevinkenpark 12,http://www.monumentenzorgdenhaag.nl/monumenten/prinsevinkenpark-12
2514AL,115,,,"Koninginnegracht 115, 2514AL 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Koninginnegracht 113/114/115,http://www.monumentenzorgdenhaag.nl/monumenten/koninginnegracht-113-tm-115
2513VJ,4,,,"Vleerstraat 4, 2513VJ 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Vleerstraat 4,http://www.monumentenzorgdenhaag.nl/monumenten/vleerstraat-4
2514GN,122,A,,"Noordeinde 122A, 2514GN 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Noordeinde 122/122a,http://www.monumentenzorgdenhaag.nl/monumenten/noordeinde-122-en-122a
2511EE,30,,,"Korte Poten 30, 2511EE 's-Gravenhage",'s-Gravenhage,plaatsing in het monumentenregister van Korte Poten 30,http://www.monumentenzorgdenhaag.nl/monumenten/korte-poten-30
2511AR,49,,,"Venestraat 49, 2511AR 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Venestraat 49,http://www.monumentenzorgdenhaag.nl/monumenten/venestraat-49
2586RN,169,,,"Korendijkstraat 169, 2586RN 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Korendijkstraat 147 t/m 169,http://www.monumentenzorgdenhaag.nl/monumenten/korendijkstraat-147-tm-169
2511BB,12,,,"Vlamingstraat 12, 2511BB 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Vlamingstraat 12,http://www.monumentenzorgdenhaag.nl/monumenten/vlamingstraat-12
2511CR,12,A,,"Plein 12A, 2511CR 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Plein 12/12a,http://www.monumentenzorgdenhaag.nl/monumenten/plein-12-en-12a
2513AD,31,A,,"Plaats 31A, 2513AD 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Plaats 29/29a/31/31a,http://www.monumentenzorgdenhaag.nl/monumenten/plaats-29-tm-31a
2585SR,94,,,"Malakkastraat 94, 2585SR 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Malakkastraat 94,http://www.monumentenzorgdenhaag.nl/monumenten/malakkastraat-94-tm-100
2585EE,15,,,"Bankastraat 15, 2585EE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 15,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-85
2512AX,10,,,"Wagenstraat 10, 2512AX 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Wagenstraat 10,http://www.monumentenzorgdenhaag.nl/monumenten/wagenstraat-10
2585EE,19,,,"Bankastraat 19, 2585EE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 19,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-87
2518ET,10,A,,"Van de Spiegelstraat 10A, 2518ET 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Van de Spiegelstraat 10,http://www.monumentenzorgdenhaag.nl/monumenten/van-de-spiegelstraat-10
2515NC,144,A,,"Groenewegje 144A, 2515NC 's-Gravenhage",'s-Gravenhage,"Plaatsing in het gemeentelijke monumentenregister:Groenewegje 144,144A",http://www.monumentenzorgdenhaag.nl/monumenten/groenewegje-144-en-144a
2511AZ,5,,,"Vlamingstraat 5, 2511AZ 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Vlamingstraat 5,http://www.monumentenzorgdenhaag.nl/monumenten/vlamingstraat-5
2585EH,61,,,"Bankastraat 61, 2585EH 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 61,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-107
2586RN,169,,,"Korendijkstraat 169, 2586RN 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Korendijkstraat 147 t/m 169,http://www.monumentenzorgdenhaag.nl/monumenten/korendijkstraat-147-tm-169
2511BE,56,,,"Spuistraat 56, 2511BE 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Spuistraat 56,http://www.monumentenzorgdenhaag.nl/monumenten/spuistraat-56-en-58
2511AR,15,,,"Venestraat 15, 2511AR 's-Gravenhage",'s-Gravenhage,plaatsing in het gemeentelijk monumentenregister van Venestraat 15,http://www.monumentenzorgdenhaag.nl/monumenten/venestraat-15
2585EG,29,,,"Bankastraat 29, 2585EG 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Bankastraat 29,http://www.monumentenzorgdenhaag.nl/monumenten/bankastraat-7-tm-92
2514HW,101,,,"Nieuwe Schoolstraat 101, 2514HW 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Nieuwe Schoolstraat 101,http://www.monumentenzorgdenhaag.nl/monumenten/nieuwe-schoolstraat-97-tm-103
