postcode,huisnummer,huisletter,toevoeging,adres,gemeente,omschrijving,bron_url
2554GA,114,,,"Meer en Boslaan 114, 2554GA 's-Gravenhage",'s-Gravenhage,Definitieve plaatsing monumentenregister Meer en Boslaan 112 Den Haag (Oosterijkse woning),http://www.monumentenzorgdenhaag.nl/monumenten/meer-en-boslaan-112-en-114
2515VK,2,,,"Spaarneplein 2, 2515VK 's-Gravenhage",'s-Gravenhage,"Plaatsing in het gemeentelijke monumentenregister:Spaarneplein 2, Spaarnestraat1, Dintelstraat 2 en 4.",http://www.monumentenzorgdenhaag.nl/monumenten/spaarneplein-2-spaarnestraat-1-dintelstraat-2-en-4
2517JX,8,,,"Adriaan Goekooplaan 8, 2517JX 's-Gravenhage",'s-Gravenhage,"Definitieve plaatsing monumentenregister, Adriaan Goekooplaan 8",http://www.monumentenzorgdenhaag.nl/monumenten/adriaan-goekooplaan-8
2518ES,19,S,,"Van de Spiegelstraat 19S, 2518ES 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Van de Spiegelstraat 19,http://www.monumentenzorgdenhaag.nl/monumenten/van-de-spiegelstraat-19
2572TC,425,,,"Schalk Burgerstraat 425, 2572TC 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijk monumentenregister:Veluweplein 1/De La Reyweg 628/ Schalkburgerstraat 425.,http://www.monumentenzorgdenhaag.nl/monumenten/de-la-reyweg-628-veluweplein-1-schalk-burgerstraat-425
2592HB,5,,,"Onyxhorst 5, 2592HB 's-Gravenhage",'s-Gravenhage,Plaatsing in het monumentenregister van het kerkgebouw Diamanthorst 187 en  bijgebouw Onyxhorst 5,http://www.monumentenzorgdenhaag.nl/monumenten/diamanthorst-187-onyxhorst-5
2584AV,9,,,"Duinstraat 9, 2584AV 's-Gravenhage",'s-Gravenhage,"Plaatsing in het gemeentelijke monumentenregister:Duinstraat 5A,7,9",http://www.monumentenzorgdenhaag.nl/monumenten/duinstraat-5a-en-7-tm-9
2512CR,10,,,"Boekhorststraat 10, 2512CR 's-Gravenhage",'s-Gravenhage,"Plaatsing in de gemeentelijke monumentenregister:Boekhorststraat 4, 6, 8 en 10",http://www.monumentenzorgdenhaag.nl/monumenten/boekhorststraat-4-6-8-10
2512GH,230,,,"Prinsegracht 230, 2512GH 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister: Prinsegracht 190 t/m 230,http://www.monumentenzorgdenhaag.nl/monumenten/prinsegracht-188-tm-230
2554EW,167,,,"Scheveningselaan 167, 2554EW 's-Gravenhage",'s-Gravenhage,Definitieve plaatsing monumentenregister Scheveningselaan 163 te Den Haag,http://www.monumentenzorgdenhaag.nl/monumenten/scheveningselaan-155-tm-167
2553AA,21,,,"Ockenburghstraat 21, 2553AA 's-Gravenhage",'s-Gravenhage,definitieve plaatsing in het gemeentelijk monumentenregister Ockenburghstraat 21,http://www.monumentenzorgdenhaag.nl/monumenten/ockenburghstraat-21
2512GA,22,A,,"Prinsegracht 22A, 2512GA 's-Gravenhage",'s-Gravenhage,"Plaatsing in het gemeentelijk monumenten register, Prinsegracht 48-50 en Brouwersgracht 2-2a",http://www.monumentenzorgdenhaag.nl/monumenten/prinsegracht-4850-brouwersgracht-22a
2585EC,28,,,"Nassauplein 28, 2585EC 's-Gravenhage",'s-Gravenhage,Plaatsing in het gemeentelijke monumentenregister:Nassauplein 28,http://www.monumentenzorgdenhaag.nl/monumenten/nassauplein-28
